"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.437916292E0,-8.882730415E-1,6.422894499E-1,8.592255360E-1,1.392778969E0
1.447972292E0,-5.711133403E-1,5.677035365E-1,5.227001488E-1,9.600381234E-1
1.458029292E0,-4.567418021E-1,6.209085211E-1,2.701618284E-1,8.167789658E-1
1.468086292E0,-6.587753820E-1,6.765991572E-1,1.231236506E-1,9.523291746E-1
1.478143292E0,-1.207092475E0,8.049262449E-1,2.569816196E-1,1.473437496E0
1.488199292E0,-1.741679721E0,8.231555244E-1,3.462457985E-1,1.957273466E0
1.498256292E0,-1.798279014E0,7.427650800E-1,2.101308042E-1,1.956952307E0
1.508313292E0,-1.406605028E0,8.339772588E-1,-8.505009055E-2,1.637464287E0
1.518370292E0,-9.200915426E-1,8.601432565E-1,-1.539782381E-1,1.268906681E0
1.528426292E0,-5.261155075E-1,8.409029934E-1,-8.301759839E-2,9.953930345E-1
1.538483292E0,-2.227999663E-1,9.530318320E-1,-3.328743857E-1,1.033786658E0
1.548540292E0,8.999566555E-2,7.394675428E-1,-6.907321697E-1,1.015885031E0
1.558596292E0,1.005935100E0,2.688979527E-1,-1.466364741E-2,1.041358035E0
1.568653292E0,1.274198923E0,6.091646808E-1,6.250930810E-1,1.544475918E0
1.578710292E0,1.039717389E0,7.779334509E-1,6.413237822E-1,1.448271002E0
1.588767292E0,5.083124900E-1,6.419666836E-1,5.696836960E-1,9.975180819E-1
1.598823292E0,-6.679157495E-2,3.831926000E-1,7.107366639E-1,8.102124960E-1
1.608880292E0,-3.314014721E-1,1.358305272E-1,5.707028657E-1,6.737793621E-1
1.618937292E0,-5.492722356E-1,2.152743074E-1,2.040841985E-1,6.242542562E-1
1.628994292E0,-6.278588140E-1,4.334540963E-2,-5.624658930E-1,8.440695443E-1
1.639050292E0,-2.101641333E-1,-5.510731781E-1,-3.019075316E-1,6.625698213E-1
1.649107292E0,-1.413856745E-2,-5.562146348E-1,-2.463619065E-1,6.084971717E-1
1.659164292E0,4.544128561E-1,-6.146476150E-1,-4.512892735E-1,8.876625162E-1
1.669221292E0,6.822069293E-1,-5.582649609E-1,-6.317612457E-1,1.084522168E0
1.679277292E0,5.011209995E-1,-4.538927463E-1,-5.440144193E-1,8.678090629E-1
1.689334292E0,6.934101945E-1,-4.153651500E-1,-4.738080704E-1,9.369311572E-1
1.699391292E0,1.121102445E0,-3.776593798E-1,-3.294087410E-1,1.228009535E0
1.709447292E0,1.494468799E0,-3.241178879E-1,-3.074477684E-1,1.559812016E0
1.719504292E0,1.734040918E0,-1.000362119E-1,-2.222368795E-1,1.751083773E0
1.729561292E0,1.537277434E0,1.855157804E-1,-7.827550650E-2,1.550408033E0
1.739618292E0,1.078990213E0,5.683405906E-2,1.309355307E-1,1.088390602E0
1.749674292E0,5.186275631E-1,1.466955310E-1,5.734884793E-1,7.870089986E-1
1.759731292E0,1.052025193E-1,1.874400991E-1,2.274485028E-1,3.129443756E-1
1.769788292E0,9.807944119E-2,5.297539374E-1,-2.073182935E-1,5.772691623E-1
1.779845292E0,1.117157328E-1,8.142601553E-1,-3.066800290E-1,8.772414979E-1
1.789901292E0,-3.015607917E-1,4.040262294E-1,-4.514401317E-2,5.061759448E-1
1.799958292E0,-7.590966457E-1,-8.290825546E-2,2.761020148E-1,8.119937308E-1
1.810015292E0,-9.980337578E-1,-3.276060444E-1,2.181274563E-1,1.072835817E0
1.820072292E0,-7.431571358E-1,-3.577189127E-1,-3.194070786E-1,8.844581567E-1
1.830128292E0,-3.667870671E-1,3.927048504E-2,-1.355818452E0,1.405104479E0
1.840185292E0,-2.214708942E-1,3.625484204E-1,-7.599959475E-1,8.706805122E-1
1.850242292E0,3.670238793E-1,7.352777204E-1,4.627530321E-1,9.431225916E-1
1.860299292E0,8.894626576E-1,1.254399958E0,1.464473459E0,2.123521977E0
1.870355292E0,1.606031919E0,1.578664903E0,1.477197585E0,2.693257156E0
1.880412292E0,1.829325390E0,1.811112191E0,1.269764102E0,2.870341378E0
1.890469292E0,1.587935956E0,1.844568205E0,3.238749361E-1,2.455375213E0
1.900525292E0,1.618858956E0,2.366520495E0,-6.437948155E-1,2.938638347E0
1.910582292E0,1.934415058E0,3.395879248E0,-1.751224131E0,4.282609420E0
1.920639292E0,2.423558621E0,3.400655546E0,-2.230606352E0,4.734310851E0
1.930696292E0,3.267387854E0,2.224010108E0,-1.280963566E0,4.154866064E0
1.940752292E0,3.453578403E0,1.215671510E0,-4.680696130E-3,3.661295251E0
1.950809292E0,3.177516734E0,1.236812118E0,1.401056605E0,3.686363577E0
1.960866292E0,3.336255775E0,1.499916649E0,2.560339906E0,4.464940424E0
1.970923292E0,3.813500839E0,1.672458628E0,2.104341285E0,4.665635943E0
1.980979292E0,3.985124804E0,2.039783054E0,8.474878353E-1,4.556332982E0
1.991036292E0,3.575746034E0,1.028911734E0,3.847035205E-1,3.740670509E0
2.001093292E0,2.420002930E0,-5.757531059E-1,2.980998248E-1,2.505348144E0
2.011150292E0,4.028848529E-1,-1.308692817E0,2.061318934E-2,1.369459016E0
2.021206292E0,-1.629832426E0,-1.744692791E0,-3.006720150E-1,2.406389480E0
2.031263292E0,-2.601913317E0,-2.441957470E0,-8.654325016E-1,3.671795557E0
2.041320292E0,-2.879766573E0,-2.513244969E0,-1.143882027E0,3.989727043E0
2.051377292E0,-3.156473774E0,-2.157675785E0,-1.335358459E0,4.049947370E0
2.061433292E0,-3.870844483E0,-1.331827326E0,-1.381457323E0,4.320373291E0
2.071490292E0,-4.462446467E0,-1.293161443E0,-1.695619888E0,4.945788288E0
2.081547292E0,-4.437830274E0,-2.455326544E0,-2.744654668E0,5.766809796E0
2.091603292E0,-3.542229794E0,-2.906007122E0,-4.364981860E0,6.328138427E0
2.101660292E0,-2.329585680E0,-1.641221632E0,-3.153947192E0,4.250642396E0
2.111717292E0,-1.728901801E0,-1.454810058E0,2.696375378E0,3.517955929E0
2.121774292E0,-1.224073666E0,-1.519967921E0,5.210846216E0,5.564312816E0
2.131830292E0,-6.601237500E-1,-1.590547907E0,4.060339293E0,4.410437755E0
2.141887292E0,-6.875740886E-3,-1.847930061E0,2.590260108E0,3.181876839E0
2.151944292E0,8.374569368E-1,-2.115186993E0,1.045844686E0,2.503825322E0
2.162001292E0,1.548019354E0,-1.893282235E0,-4.225224343E-1,2.481815213E0
2.172057292E0,1.519677899E0,-1.107202443E0,-9.472436732E-1,2.105371403E0
2.182114292E0,8.496501356E-1,-2.966017681E-1,-6.551828527E-1,1.113167792E0
2.192171708E0,2.185285753E-1,2.403252411E-1,-1.463256946E-1,3.562613768E-1
2.202228708E0,-5.082926095E-2,5.013046020E-1,2.067236316E-1,5.446325162E-1
2.212284708E0,-1.099820334E-1,5.006859666E-1,5.667571646E-1,7.641964201E-1
2.222341708E0,-9.313737452E-2,1.470457792E-1,9.918431644E-1,1.007000444E0
2.232398708E0,-2.202991122E-1,2.198050225E-1,1.088058075E0,1.131687378E0
2.242454708E0,-4.680883241E-1,6.228693849E-1,8.480735801E-1,1.151651747E0
2.252511708E0,-2.478552854E-1,1.452707400E0,6.619434035E-1,1.615537094E0
2.262568708E0,1.017698529E0,1.467027816E0,7.863777074E-1,1.950966634E0
2.272625708E0,1.088075616E0,1.730697480E0,1.037140813E0,2.292353241E0
2.282681708E0,4.324752724E-1,1.721281124E0,6.753567700E-1,1.898934000E0
2.292738708E0,4.132893884E-1,8.913173944E-1,-6.945850463E-1,1.203205387E0
2.302795708E0,2.129017997E-1,8.967658299E-1,-1.837843907E0,2.056012246E0
2.312852708E0,3.881656569E-1,1.369986840E0,-1.272588015E0,1.909716412E0
2.322908708E0,1.610556495E0,1.596699178E0,-2.111008573E-1,2.277697096E0
2.332965708E0,2.130221061E0,1.086723155E0,2.509184955E-1,2.404530948E0
2.343022708E0,1.525911031E0,1.212856953E0,2.132273434E-1,1.960839709E0
2.353079708E0,8.225415668E-1,1.828637758E0,6.316235438E-1,2.102246175E0
2.363135708E0,4.761849636E-1,2.023478678E0,9.106089668E-1,2.269455170E0
2.373192708E0,1.127854809E-1,1.885894863E0,1.121206379E0,2.196912320E0
2.383249708E0,7.976186872E-3,1.398178605E0,1.037146953E0,1.740873584E0
2.393305708E0,4.840997547E-2,8.656814468E-1,1.102265201E0,1.402403817E0
2.403362708E0,-1.738862532E-1,4.896908623E-1,3.635028322E-1,6.341670748E-1
2.413419708E0,-1.453799075E-1,-1.396309251E-1,-3.795684958E-1,4.297724464E-1
2.423476708E0,-3.412815124E-2,-1.073636502E0,-7.120143536E-1,1.288729804E0
2.433532708E0,-1.472422457E-1,-1.933205854E0,-9.184251592E-1,2.145336786E0
2.443589708E0,-2.227780393E-1,-2.609377872E0,-5.899267566E-1,2.684491854E0
2.453646708E0,-3.666461492E-1,-2.995965950E0,2.542737740E-1,3.029009166E0
2.463703708E0,-5.964107341E-1,-3.115403516E0,1.124680356E0,3.365464416E0
2.473759708E0,-7.384027648E-1,-2.920983596E0,1.665280001E0,3.442461516E0
2.483816708E0,-7.997684160E-1,-2.779237733E0,1.750297932E0,3.380434106E0
2.493873708E0,-8.408842823E-1,-2.809753767E0,1.439801279E0,3.267235885E0
2.503930708E0,-5.420348445E-1,-2.457487090E0,6.845140944E-1,2.607988519E0
2.513986708E0,7.736041725E-2,-1.514662743E0,2.189256012E-2,1.516795023E0
2.524043708E0,7.676142848E-1,-8.160356623E-1,6.900467299E-2,1.122456029E0
2.534100708E0,1.075123741E0,-1.019409424E-1,2.727187427E-1,1.113848521E0
2.544157708E0,8.870860568E-1,8.044499892E-1,4.101850285E-1,1.265825112E0
2.554213708E0,5.839482710E-1,1.354847229E0,6.476791940E-1,1.611240186E0
2.564270708E0,4.399781272E-1,9.600648630E-1,8.513154957E-1,1.356481982E0
2.574327708E0,2.489867216E-1,7.411451089E-1,7.660864073E-1,1.094613559E0
2.584383708E0,-2.463519663E-2,1.201298761E0,8.031648443E-1,1.445267925E0
2.594440708E0,-1.037360376E-1,1.125634037E0,9.856738403E-1,1.499788675E0
2.604497708E0,-1.341254792E-1,8.523755229E-1,8.260753316E-1,1.194543482E0
2.614554708E0,-1.069923520E-1,4.861228913E-1,5.404915450E-1,7.347747539E-1
2.624610708E0,-2.818673694E-1,1.520697069E-1,2.830292843E-1,4.274107924E-1
2.634667708E0,-5.784092036E-1,-7.692012191E-3,2.081925253E-1,6.147849229E-1
2.644724708E0,-5.810860589E-1,-6.400455809E-1,2.394036468E-1,8.970136340E-1
2.654781708E0,-7.254815876E-1,-9.451854533E-1,-4.629540302E-2,1.192410307E0
2.664837708E0,-7.685834607E-1,-1.104147273E0,-1.670515160E-1,1.355643001E0
2.674894708E0,-8.374648306E-1,-5.848630679E-1,-1.781155443E-1,1.036888276E0
2.684951708E0,-6.616308698E-1,2.785028815E-3,4.184559882E-2,6.629586853E-1
2.695008708E0,-2.991052535E-1,2.824392271E-1,3.755642494E-1,5.570317541E-1
2.705064708E0,2.424314082E-2,3.700346106E-1,3.722607187E-1,5.254439891E-1
2.715121708E0,2.797863454E-2,4.047799355E-1,1.352980652E-1,4.277092080E-1
2.725178708E0,-7.612636238E-2,4.217257512E-1,-1.299040818E-1,4.477978369E-1
